2024-09-09 12:19:00,370 INFO [main]	register protocol:1 success
2024-09-09 12:19:00,428 INFO [main]	register protocol:29 success
2024-09-09 12:19:00,432 INFO [main]	register protocol:4 success
2024-09-09 12:19:00,437 INFO [main]	register protocol:3 success
2024-09-09 12:19:00,438 INFO [main]	register protocol:31 success
2024-09-09 12:19:00,439 INFO [main]	register protocol:28 success
2024-09-09 12:19:00,440 INFO [main]	register protocol:32 success
2024-09-09 12:19:00,442 INFO [main]	register protocol:33 success
2024-09-09 12:19:00,442 INFO [main]	register protocol:30 success
2024-09-09 12:19:00,446 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2024-09-09 12:19:00,446 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2024-09-09 12:19:00,447 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2024-09-09 12:19:00,448 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2024-09-09 12:19:00,456 INFO [main]	create thread:server-work-thread-1
2024-09-09 12:19:00,457 INFO [main]	create thread:server-work-thread-2
2024-09-09 12:19:00,458 INFO [main]	create thread:server-work-thread-3
2024-09-09 12:19:00,458 INFO [main]	create thread:server-work-thread-4
2024-09-09 12:19:00,459 INFO [main]	create thread:server-work-thread-5
2024-09-09 12:19:00,459 INFO [main]	create thread:server-work-thread-6
2024-09-09 12:19:00,459 INFO [main]	create thread:server-work-thread-7
2024-09-09 12:19:00,459 INFO [main]	create thread:server-work-thread-8
2024-09-09 12:19:00,460 INFO [main]	create thread:server-work-thread-9
2024-09-09 12:19:00,460 INFO [main]	create thread:server-work-thread-10
2024-09-09 12:19:00,460 INFO [main]	create thread:server-work-thread-11
2024-09-09 12:19:00,460 INFO [main]	create thread:server-work-thread-12
2024-09-09 12:19:00,507 INFO [main]	use jdk nio event mode
2024-09-09 12:19:00,541 INFO [main]	create thread:timeout-timer-thread-1
2024-09-09 12:19:00,783 WARN [main]	meta file not exist, name=./data/log/metadata
2024-09-09 12:19:00,786 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2024-09-09 12:19:00,893 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=appendEntries
2024-09-09 12:19:00,895 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=preVote
2024-09-09 12:19:00,895 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=requestVote
2024-09-09 12:19:00,898 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=installSnapshot
2024-09-09 12:19:00,907 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getConfiguration
2024-09-09 12:19:00,909 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getLeader
2024-09-09 12:19:00,911 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=addPeers
2024-09-09 12:19:00,913 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=removePeers
2024-09-09 12:19:00,918 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=get
2024-09-09 12:19:00,920 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=set
2024-09-09 12:19:00,978 INFO [main]	create thread:server-acceptor-thread-1
2024-09-09 12:19:00,991 INFO [main]	server started on port=8051 success
2024-09-09 12:19:01,051 INFO [main]	create thread:fairStrategy-timer-thread-1
2024-09-09 12:19:01,055 INFO [main]	create thread:client-work-thread-1
2024-09-09 12:19:01,055 INFO [main]	create thread:client-work-thread-2
2024-09-09 12:19:01,056 INFO [main]	create thread:client-work-thread-3
2024-09-09 12:19:01,057 INFO [main]	create thread:client-work-thread-4
2024-09-09 12:19:01,057 INFO [main]	create thread:client-work-thread-5
2024-09-09 12:19:01,057 INFO [main]	create thread:client-work-thread-6
2024-09-09 12:19:01,058 INFO [main]	create thread:client-work-thread-7
2024-09-09 12:19:01,058 INFO [main]	create thread:client-work-thread-8
2024-09-09 12:19:01,058 INFO [main]	create thread:client-work-thread-9
2024-09-09 12:19:01,058 INFO [main]	create thread:client-work-thread-10
2024-09-09 12:19:01,059 INFO [main]	create thread:client-work-thread-11
2024-09-09 12:19:01,059 INFO [main]	create thread:client-work-thread-12
2024-09-09 12:19:01,128 INFO [main]	create thread:client-io-thread-1
2024-09-09 12:19:01,135 WARN [main]	init min idle object pool failed
2024-09-09 12:19:01,244 INFO [main]	create thread:fairStrategy-timer-thread-1
2024-09-09 12:19:01,245 INFO [main]	create thread:client-work-thread-1
2024-09-09 12:19:01,246 INFO [main]	create thread:client-work-thread-2
2024-09-09 12:19:01,246 INFO [main]	create thread:client-work-thread-3
2024-09-09 12:19:01,246 INFO [main]	create thread:client-work-thread-4
2024-09-09 12:19:01,247 INFO [main]	create thread:client-work-thread-5
2024-09-09 12:19:01,247 INFO [main]	create thread:client-work-thread-6
2024-09-09 12:19:01,247 INFO [main]	create thread:client-work-thread-7
2024-09-09 12:19:01,248 INFO [main]	create thread:client-work-thread-8
2024-09-09 12:19:01,248 INFO [main]	create thread:client-work-thread-9
2024-09-09 12:19:01,248 INFO [main]	create thread:client-work-thread-10
2024-09-09 12:19:01,248 INFO [main]	create thread:client-work-thread-11
2024-09-09 12:19:01,249 INFO [main]	create thread:client-work-thread-12
2024-09-09 12:19:01,251 INFO [main]	create thread:client-io-thread-1
2024-09-09 12:19:01,252 WARN [main]	init min idle object pool failed
2024-09-09 12:19:01,911 INFO [server-acceptor-thread-1]	create thread:server-io-thread-1
2024-09-09 12:19:01,916 INFO [server-acceptor-thread-1]	create thread:server-io-thread-2
2024-09-09 12:19:01,917 INFO [server-acceptor-thread-1]	create thread:server-io-thread-3
2024-09-09 12:19:01,918 INFO [server-acceptor-thread-1]	create thread:server-io-thread-4
2024-09-09 12:19:01,920 INFO [server-acceptor-thread-1]	create thread:server-io-thread-5
2024-09-09 12:19:01,921 INFO [server-acceptor-thread-1]	create thread:server-io-thread-6
2024-09-09 12:19:01,923 INFO [server-acceptor-thread-1]	create thread:server-io-thread-7
2024-09-09 12:19:01,925 INFO [server-acceptor-thread-1]	create thread:server-io-thread-8
2024-09-09 12:19:02,923 INFO [server-acceptor-thread-1]	create thread:server-io-thread-9
2024-09-09 12:19:02,928 INFO [server-acceptor-thread-1]	create thread:server-io-thread-10
2024-09-09 12:19:02,929 INFO [server-acceptor-thread-1]	create thread:server-io-thread-11
2024-09-09 12:19:02,930 INFO [server-acceptor-thread-1]	create thread:server-io-thread-12
2024-09-09 12:19:08,978 INFO [server-work-thread-1]	preVote request from server 2 in term 0 (my term is 0), granted=true
2024-09-09 12:19:09,034 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=0, firstLogIndex=1
2024-09-09 12:19:09,036 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=2, firstLogIndex=1
2024-09-09 12:19:09,036 INFO [server-work-thread-2]	RequestVote request from server 2 in term 1 (my term is 1), granted=true
